#{"t_start": 1781727376.9474878, "env_id": "EPuckLidarParkingEnv-v0"}
r,l,t
-148.110156,29,3.944542
-114.793675,9,4.247449
-155.175685,16,4.89209
-229.085497,32,6.200419
-229.495528,31,7.150301
-153.002083,12,7.56654
-156.696994,13,7.99948
-224.975032,28,8.86443
-226.835567,28,9.778736
-193.754297,25,10.63586
-162.186959,17,11.220341
-182.626416,41,13.007421
-133.280775,46,14.515735
-209.118224,84,17.098727
-176.531195,76,19.26538
-176.950786,37,20.27542
-182.261963,31,21.165322
-151.253424,23,21.820176
-174.562609,31,22.67626
-134.121602,13,23.051404
-195.957598,27,23.796771
-270.421519,40,25.134417
-271.805906,42,26.443907
-231.358576,31,27.340239
-165.567404,15,27.761678
-208.502154,24,28.455953
-156.30611,13,28.841292
-212.625356,29,29.682647
-215.487839,39,30.822431
-146.918001,26,31.651812
-201.945547,31,32.609505
-213.189157,25,33.34465
-194.479098,29,34.165075
-164.772881,16,34.776132
-234.228293,33,36.34723
-324.67754,134,40.434527
-141.03228,23,41.111927
-158.292124,35,42.180254
-169.005976,34,43.194969
-144.372194,22,43.883647
-197.945096,30,44.910249
-229.215443,107,48.153372
-158.555728,31,49.113667
-152.42581,22,49.792052
-187.732257,34,50.74364
-118.909956,12,51.093612
-116.067148,13,51.483248
-176.04583,36,52.495164
-135.933616,20,53.05994
-178.780713,70,55.225323
-155.255398,45,56.67638
-198.821948,34,57.672916
-146.303132,32,58.660826
-153.193762,16,59.172354
-132.285326,13,59.588541
-150.036591,17,60.125757
-406.925907,154,64.342074
-141.611625,30,65.263106
-150.899256,93,68.54359
-203.080609,118,72.927481
-246.591462,125,77.557115
-120.747617,15,78.248105
-333.702809,142,84.305119
-204.250122,126,88.392609
-326.714988,132,93.097018
-129.032213,20,93.750219
-312.223684,123,97.321502
-196.711291,37,98.381996
-282.283626,127,101.800515
-132.908589,19,102.903768
-302.098537,110,106.022887
-127.291511,18,106.5571
25.53021,113,110.103114
-5025.564717,800,135.293966
-150.664078,40,136.58613
-220.071776,134,140.963877
-130.429369,25,141.688439
-141.967954,22,142.59827
-251.219068,96,146.06894
-213.352344,78,149.148459
-158.419866,22,150.173746
44.138881,102,153.591629
-225.486221,122,157.524157
-181.449535,104,160.777595
-158.321498,112,164.303037
-1827.506873,800,190.637629
-1779.018323,800,215.520932
-391.773145,135,219.932511
-365.253248,133,224.136313
-1850.253902,800,247.353945
-236.397662,124,251.926605
-122.889986,9,252.251822
-147.159577,15,252.656229
-5447.866037,800,277.908725
-201.08494,26,278.617068
-220.986658,120,281.95872
-110.213571,13,282.352434
-288.272098,120,286.205609
-245.783505,104,289.262635
-275.286562,129,293.149204
-127.070572,11,293.535604
-220.742274,108,296.772692
-229.931201,104,299.79868
-182.818148,111,303.036672
-416.089524,167,307.456036
-236.358131,132,311.013318
-160.412354,97,314.154467
-210.685467,127,317.84709
-178.104914,115,321.109317
-146.651488,116,324.611243
-494.022369,241,331.533709
-171.460423,103,334.282026
-261.096787,148,338.226856
-257.435927,149,342.198038
-222.532471,110,345.665666
-11.09994,122,348.925074
-327.046719,148,353.068029
-263.058779,128,356.776276
-252.914301,115,359.834878
-210.0038,103,362.606084
-142.555061,108,365.595467
-270.479767,117,369.043205
-374.816733,178,374.665724
-364.126286,172,379.746961
-591.212858,300,388.388982
-318.856429,160,393.015586
-1759.191792,800,417.110159
-1682.100045,691,436.645753
-1767.346422,800,459.353201
-1741.272617,800,481.90007
-1613.389929,421,494.299843
-520.01913,215,500.513951
