#{"t_start": 1781740124.1269634, "env_id": "EPuckLidarParkingEnvSAC-v0"}
r,l,t
-124.749969,20,7.319586
-118.429611,46,9.631022
-151.493807,17,10.085522
-176.669532,26,10.987091
-267.310242,40,12.937728
-238.546373,54,15.742364
-459.774193,145,24.689916
-321.011685,71,28.710282
-221.870091,78,33.087615
-172.258415,23,34.328174
-221.767117,138,41.284137
-231.697932,110,46.894915
-1818.705241,800,89.30232
-625.149489,292,104.1378
43.779197,127,110.626443
-166.03426,116,116.847657
-143.08227,100,121.806958
58.587357,105,127.051026
56.062693,118,132.931913
79.277054,94,137.687936
-137.644443,109,143.912655
-141.328652,109,149.406699
-136.036843,106,154.753655
-169.520641,94,160.179162
-177.865979,125,166.675373
-135.369126,99,171.809752
-172.548625,98,176.971216
58.145021,120,183.354578
78.035379,94,188.279348
-159.065226,104,193.560149
60.322063,113,199.340041
69.031676,114,205.265357
-137.342122,106,210.646293
-128.030541,116,216.5923
-133.891348,93,221.335136
-160.642817,98,226.369615
-140.468406,93,231.235189
78.267038,95,236.129775
-171.069064,110,241.820116
-139.282755,102,247.052657
-158.180917,120,253.323767
-135.140051,104,258.682555
-155.062125,120,264.810187
34.165434,132,271.618841
-150.809578,114,277.467285
53.400282,114,283.319781
55.346753,114,289.131395
-146.290803,91,293.801136
-138.748757,117,299.851905
-145.668799,99,305.140178
-165.109548,103,310.510873
-183.840358,130,317.415834
-168.589961,120,323.71646
-144.257865,114,329.774737
-151.871514,108,335.437405
67.93021,114,341.489212
84.516641,102,346.826714
84.423865,101,352.119521
-129.780667,96,357.231739
74.179583,120,363.544965
77.188543,99,368.871003
59.749285,97,374.789889
63.142207,127,382.243838
84.086917,104,388.749485
74.627499,107,395.308274
82.241161,106,401.19442
-119.590142,106,407.612331
69.549865,93,412.729053
-126.85149,109,418.442727
-121.54627,88,423.409807
80.563897,119,429.786799
89.205906,96,435.479006
-107.803647,107,441.130337
83.121339,117,447.348986
-134.87749,114,453.602911
81.016369,103,459.354666
-122.825954,103,465.464561
76.056528,114,472.235532
75.615809,94,477.808758
-117.529274,111,484.802936
89.437982,107,490.678589
77.018139,112,496.1889
-117.385794,110,501.633585
89.361987,94,507.292859
84.786242,91,511.745989
86.727657,102,516.791799
86.835628,96,521.544992
86.691409,112,527.178936
90.807832,109,532.467542
-184.979776,133,539.039491
88.37093,107,544.362036
-135.997443,99,549.957956
78.154515,98,554.890906
-128.847143,97,559.720605
78.642632,104,564.901491
88.124413,105,570.125671
-126.139157,102,575.198903
85.773871,112,580.750519
-105.683605,118,586.527506
83.558663,104,591.573741
91.016561,107,597.800115
89.723625,121,603.901161
88.621842,111,609.515832
89.767559,104,614.774966
91.919974,93,619.441248
84.902944,113,625.186342
-142.371529,105,630.630073
78.713872,119,636.464146
-111.57775,95,641.185121
89.216401,88,645.545278
93.596153,107,651.047157
83.289231,99,656.477404
93.095065,100,662.439669
92.877867,93,667.754504
88.056101,111,673.795187
-107.030938,93,679.167475
75.221789,119,686.493072
75.652088,109,692.660194
89.441326,95,697.695771
98.800209,96,702.482429
88.381585,104,708.598597
90.293924,95,714.188383
90.181092,100,720.2469
-109.597814,103,726.135758
89.930293,91,731.372787
88.106565,113,738.07261
96.787569,95,742.795657
85.464211,108,748.274585
96.184818,114,753.953671
-108.993174,93,758.59713
96.117173,112,764.289992
85.386836,102,769.724488
81.710209,104,774.876634
-112.335813,94,779.555115
89.713799,112,785.008394
90.003354,120,790.997602
98.277397,102,796.075186
78.507845,120,802.016607
70.046148,112,807.573639
88.017162,119,813.586169
47.241936,124,819.680553
86.474205,109,825.185276
96.852965,105,830.62316
63.733546,112,836.197774
92.160104,121,842.255571
77.861969,111,847.764026
81.032691,101,852.751476
89.058633,94,857.456914
86.447304,96,862.196557
-113.333688,92,866.597567
75.050895,123,872.977957
88.830113,95,877.727179
90.449467,109,883.226334
-102.320666,30,884.67524
83.777141,122,890.722943
53.582372,114,896.478721
77.662428,110,901.861879
88.920888,104,907.09376
67.982328,123,913.23176
71.935309,109,918.663743
76.566624,105,923.98259
-107.129291,112,929.535149
71.307826,131,936.131332
87.603021,116,941.751365
84.653391,116,947.442489
76.34071,119,953.211112
81.790682,124,959.261343
87.588736,105,964.393013
66.631833,130,970.796097
71.7383,118,976.564199
74.102433,106,982.210351
79.81219,95,986.874536
64.528021,92,992.95783
94.787515,110,999.136721
75.635251,113,1005.28527
82.686356,121,1011.649176
75.347833,92,1016.457735
69.213698,120,1023.13995
68.924197,106,1029.112485
75.805289,122,1035.256824
-128.715062,118,1041.251966
77.574729,121,1047.33864
78.960162,99,1052.624184
65.979671,129,1058.244597
73.1273,104,1061.211082
77.60797,94,1063.880058
86.585982,119,1067.087228
69.494983,103,1069.895234
76.135536,122,1075.953294
84.839209,113,1081.578328
74.023648,99,1086.647615
81.04789,108,1091.837433
77.004187,118,1098.255249
85.781171,109,1104.352355
77.755711,112,1110.199296
-132.025618,117,1116.603599
95.2102,94,1121.516511
76.596887,99,1127.289038
86.80708,115,1134.91853
84.916135,101,1140.492536
75.383332,103,1147.073586
88.164254,105,1152.791932
77.785805,103,1158.653596
74.395646,118,1165.029137
98.738468,94,1170.250812
87.252821,101,1175.870796
79.107144,121,1182.516704
77.811112,113,1188.719976
83.993186,115,1195.123541
98.367548,108,1201.666317
81.357719,110,1207.74344
94.174477,111,1213.665936
78.792172,102,1219.159202
73.723809,112,1225.061119
79.678365,113,1231.163462
93.605415,96,1236.293911
84.049641,102,1242.04228
90.760615,106,1248.586551
95.716513,110,1254.689288
78.902584,115,1261.10787
98.100599,113,1267.241392
91.228484,88,1271.986633
84.139052,105,1277.699935
80.900354,120,1284.281854
79.806587,122,1290.864675
86.372215,97,1296.035614
83.135168,106,1301.636494
78.94026,107,1307.495214
93.404106,126,1314.202525
89.297655,93,1319.193859
82.431182,101,1324.630188
73.267138,125,1331.341418
81.943649,119,1337.587722
80.362686,115,1343.748295
82.671292,106,1349.347043
58.329453,131,1356.981998
92.947441,102,1362.377669
89.559713,113,1368.589823
75.102407,107,1374.274641
94.033484,121,1380.668312
72.701217,102,1386.06406
91.37757,97,1391.231762
82.066952,116,1397.346568
78.81075,105,1402.979437
95.916323,119,1409.692012
92.936054,124,1416.418791
81.354016,94,1421.4301
81.047766,105,1427.126086
92.247604,102,1432.495579
82.438544,95,1437.511413
92.539024,101,1443.04328
98.862268,114,1448.998953
95.977012,93,1453.872263
93.188138,100,1459.153182
82.646237,107,1464.843362
95.076094,119,1471.355375
94.566674,92,1476.239382
94.976083,112,1482.147743
77.171491,98,1487.39167
93.925566,98,1492.556384
96.391656,93,1497.467343
92.969273,93,1502.445033
94.90966,104,1507.987197
83.30977,86,1512.59351
92.903602,90,1517.417453
78.292478,99,1522.605423
93.105913,111,1528.477799
71.784581,126,1535.437354
100.314697,99,1540.684259
79.556547,112,1546.532212
79.237974,120,1552.873676
93.317978,110,1558.734581
82.752118,97,1563.864387
76.537277,106,1569.561545
86.314917,106,1575.11305
89.40495,99,1580.299736
97.270103,88,1584.966891
77.76495,112,1591.111359
89.46869,115,1597.378859
94.828036,92,1602.197974
96.106455,111,1608.145235
87.604138,87,1612.695466
91.493249,101,1618.176787
80.682718,104,1623.680624
82.795048,116,1629.731339
86.393834,108,1635.926116
90.757413,119,1642.312605
76.558538,115,1648.428697
72.878589,128,1655.260135
-121.573875,111,1661.493592
88.38554,112,1667.316143
79.745319,107,1672.980851
86.811725,112,1678.865943
90.153881,97,1684.045155
85.828852,95,1689.173378
86.684519,120,1695.775986
96.973592,87,1700.364228
96.024327,107,1706.025944
90.973998,102,1711.493525
97.332658,92,1716.254757
89.070359,98,1721.44283
89.489794,96,1726.576236
88.650543,103,1732.031983
73.279606,131,1738.918226
98.810188,107,1744.463077
93.858106,107,1750.190869
98.06307,103,1755.824078
79.16454,115,1761.894076
95.42537,91,1766.761147
92.394187,113,1772.781982
98.982789,92,1777.600826
86.906195,91,1782.485848
83.705086,120,1788.965007
90.441516,104,1794.537538
94.589863,94,1799.495726
77.347028,98,1804.757004
92.941371,110,1810.718318
86.487453,122,1817.421973
97.195305,95,1822.51176
85.909352,105,1828.20271
89.581792,94,1833.173739
79.766871,102,1838.64458
87.745019,100,1844.046302
87.193632,110,1850.03605
80.727351,104,1855.622173
79.505091,109,1861.64835
94.1539,113,1867.798107
88.947364,108,1873.584254
87.245109,129,1880.422766
85.036434,118,1886.691468
78.49018,117,1892.940124
87.176465,88,1897.666352
86.986289,95,1902.764494
90.420702,90,1907.53152
88.176686,103,1912.939316
83.845316,109,1918.710653
81.112739,106,1924.454572
78.82231,117,1930.671526
82.010956,120,1937.010586
86.393268,114,1943.063383
77.892193,114,1949.365448
75.157378,129,1956.237665
90.843403,113,1962.250062
82.308199,104,1967.766509
87.222259,106,1973.404254
83.752058,111,1979.142376
86.702289,115,1985.36673
82.846878,97,1990.51901
80.768063,105,1996.065018
91.057886,87,2000.670855
88.474445,96,2005.950376
79.924496,114,2012.058419
83.549081,123,2018.567638
88.209936,127,2025.282825
82.785259,97,2030.337743
92.884372,89,2035.059657
86.238446,115,2041.391846
79.651472,111,2047.269672
86.89597,110,2053.170744
83.875455,108,2058.858938
86.49968,108,2064.623777
90.39177,89,2069.36751
86.445839,115,2075.423278
92.167602,95,2080.459625
94.159918,96,2085.606246
84.569892,108,2091.32199
82.692474,101,2096.686179
77.860381,120,2102.891736
84.029877,122,2108.428466
76.059586,119,2113.873685
87.799275,100,2118.556231
81.405511,99,2123.073607
87.721622,101,2127.748214
83.823692,102,2132.548406
95.561847,104,2137.281065
89.023915,115,2142.331026
87.919925,106,2145.216219
92.60111,114,2148.149042
88.094577,94,2150.487539
87.524369,93,2152.897985
94.619429,98,2157.405346
87.211733,119,2163.126694
80.56588,110,2168.215496
88.485949,92,2172.531059
87.506489,100,2177.143646
91.659442,117,2182.526764
84.913106,119,2188.074189
86.919002,104,2192.804937
93.492152,96,2197.321092
93.502787,104,2202.121245
95.396459,87,2206.329816
85.348853,99,2210.827033
85.750394,98,2215.356816
92.371831,91,2221.111171
85.609135,90,2226.580563
86.98126,102,2232.843504
93.546918,105,2240.422295
92.482052,100,2247.249264
90.467479,91,2252.720977
90.309882,97,2258.321396
86.79541,87,2263.28223
92.275836,109,2269.506243
86.761452,120,2275.924201
91.154256,96,2281.027929
92.411986,112,2287.009977
92.813097,90,2291.680078
83.889027,124,2298.317653
93.471382,106,2303.977563
84.655792,111,2310.065644
87.260893,101,2315.632785
86.399501,106,2321.270384
93.982317,89,2326.053484
88.03619,109,2332.25367
88.241129,95,2337.574671
88.498734,112,2344.529516
89.565677,94,2349.936135
90.005138,99,2356.322792
86.515991,103,2361.673178
88.11799,95,2366.959642
90.325802,94,2372.614411
85.051491,92,2378.675984
88.592215,90,2384.338926
87.136798,98,2389.738445
95.596705,114,2396.028014
90.573541,112,2405.788269
73.38967,109,2413.272463
96.9945,90,2419.256651
88.736674,101,2424.661198
89.940207,109,2430.615741
88.783294,124,2437.525224
88.12667,97,2442.760189
94.705991,92,2447.718941
83.451021,101,2453.888913
93.710099,85,2459.154174
86.487948,110,2465.562363
94.585337,103,2470.936512
85.168377,111,2476.563715
98.4564,109,2482.168869
88.69237,107,2487.706175
90.723059,97,2492.625487
90.693045,94,2497.433105
94.247429,101,2502.496242
91.969436,106,2507.885859
90.853271,106,2513.193385
87.529664,98,2518.31848
93.757956,93,2523.047868
95.523024,104,2528.263004
85.976293,110,2533.779408
89.116971,108,2539.248198
93.694019,107,2544.570731
92.686231,117,2550.770141
88.21451,124,2558.070253
92.199475,94,2562.940957
91.827233,105,2568.13233
87.628329,120,2574.106595
90.062263,111,2579.543321
92.776098,97,2584.318331
92.131571,95,2588.972734
89.336126,116,2594.756933
83.533378,104,2600.522654
88.789016,89,2604.931603
92.860827,93,2609.511479
91.539991,116,2615.225997
82.91078,124,2621.582054
85.570056,108,2626.876001
93.749498,109,2632.13425
77.287554,123,2638.216373
87.190816,122,2644.215301
89.695339,95,2648.928349
93.069469,104,2654.111143
87.835584,101,2659.188097
91.834713,95,2664.117375
90.847846,110,2669.573353
89.099211,117,2675.414514
96.148815,84,2679.528963
93.994945,107,2684.860261
92.670124,99,2689.807973
92.912763,112,2695.345699
96.922369,96,2700.004819
