#{"t_start": 1781747159.5238495, "env_id": "EPuckLidarParkingEnvSAC-v0"}
r,l,t
-125.152044,12,4.917359
-158.957291,28,10.896349
-200.707861,32,15.001503
-140.09303,29,15.739166
-358.190114,87,19.417518
-1845.432549,800,54.317042
-1919.434132,800,89.024754
-1909.700803,800,127.734805
-741.963273,301,146.070697
-176.123901,35,147.5593
-135.983488,24,148.775807
-200.266882,32,150.287615
-1792.565072,800,188.061674
-1718.571489,800,224.399553
-115.789852,41,226.180008
-1746.234238,800,261.765455
-1470.558837,655,290.383425
-190.18559,120,295.682226
-168.012248,114,300.658477
-1769.331593,800,335.984575
-367.72767,196,344.552192
-1728.127757,800,379.658224
67.875685,106,384.309834
-1728.588175,800,419.240681
-602.136243,301,432.377319
-1039.944909,478,453.486775
-237.064694,158,460.575503
-133.127624,200,469.434597
-235.436483,119,474.695084
-217.066554,115,479.682945
-210.860068,103,484.277567
-193.228453,117,489.470702
-162.918201,94,493.66087
-203.632479,121,498.976425
-117.338489,25,500.093841
-840.056139,366,516.237335
-211.666048,124,521.818357
-5948.264051,800,558.143675
-225.680983,149,564.884936
-206.788049,115,569.988715
-143.927655,114,575.554217
-233.554077,124,581.110981
-152.292671,118,586.337992
-162.938789,105,590.997288
-182.66872,100,595.413014
-164.892804,106,600.305367
56.789351,112,605.298542
37.703487,128,611.253891
-132.555985,18,612.110282
18.447341,119,617.496746
-181.200296,91,621.511191
-205.988728,117,626.628855
-241.216028,147,633.079521
-105.649397,27,634.338673
-109.934408,35,635.96523
-186.64552,126,641.542316
-108.12423,29,642.776312
-175.242922,111,647.816138
-142.069819,23,648.901973
-125.939283,40,650.696317
-183.861299,123,656.206907
-159.063254,106,661.100599
-178.897445,109,665.896266
-184.871077,112,670.822242
-164.753499,99,675.315874
-119.111388,30,676.669252
-166.243159,104,681.312389
-178.08618,100,685.679484
-227.282835,91,689.79028
-209.50494,116,695.017733
-134.186537,24,696.187489
-203.476711,142,702.397269
-115.807924,19,703.210473
-120.108639,46,705.244572
-168.61717,114,710.362935
-390.574309,205,719.484519
-246.113189,161,726.799427
-143.32682,99,731.452388
-148.776416,90,735.374368
19.141504,141,741.537072
-139.928864,100,745.904797
-133.245262,113,750.871156
86.98132,93,755.035382
-132.249791,101,759.546992
-138.533967,109,764.807751
-152.61628,124,770.490427
-133.678488,117,775.966624
-149.235518,80,779.595284
-149.907813,106,784.393651
58.005593,127,790.04293
-130.134994,108,795.159846
-127.902725,119,800.663533
81.343149,100,805.045705
-108.325431,16,805.760376
-117.939654,90,810.021865
73.737661,120,815.259046
-145.976566,108,819.952474
92.876408,89,824.062447
-129.748417,111,828.920722
-152.127623,119,834.239298
-158.650801,98,838.64347
-165.855141,116,843.865221
-150.980729,118,849.271837
-161.849324,34,850.954865
-121.697298,16,851.691925
-162.162316,123,857.197382
-132.817287,18,858.125317
-164.891307,103,863.457241
-211.72381,122,870.119105
-174.342728,114,875.153937
-148.875246,97,879.471836
-146.346698,96,883.712731
-124.484981,22,884.952687
-128.975482,21,885.94017
-135.430699,27,887.128922
-124.679855,94,891.133861
-155.604644,126,896.70358
-153.755295,83,900.452615
-123.935481,23,901.549012
92.472636,101,906.153221
-155.025889,94,910.187351
-197.549569,130,917.55489
-141.310301,90,919.913912
-154.814196,123,923.511807
-181.008355,119,927.024697
-135.808524,41,928.149792
89.76532,106,933.084209
64.072054,100,937.674205
-134.512806,111,942.468962
-156.463229,100,947.156143
84.29995,115,952.364417
-174.371335,99,956.745498
22.896772,129,962.591492
66.392402,97,967.097027
-140.437999,102,971.615318
-107.042227,26,972.991972
-144.901807,101,977.551124
-166.428366,113,982.541398
-124.745369,101,987.216341
-181.508356,102,991.709123
-151.816237,71,994.837722
-161.834394,100,999.410952
